cpu_cores,cpu_frequency,gpu_memory,disk_capacity,network_speed,processes,cpu_temperature,gpu_temperature,disk_temperature,network_bandwidth,network_latency,process_memory_usage,process_cpu_usage,cpu_power_usage,gpu_power_usage,disk_power_usage,network_power_usage
34,2.69,24.43,10000.0,49.328,8816,75.83,62.24,20.66,382.25,91.56,787,37,279.12,316.13,7.27,7.44
20,1.65,16.84,10000.0,80.585,3108,68.9,71.3,21.79,508.91,64.71,398,56,294.9,319.65,9.57,3.8
54,1.46,17.88,10000.0,61.35,1270,76.43,63.12,24.32,981.74,30.1,728,44,288.75,264.38,3.88,3.2
18,1.53,14.81,10000.0,61.089,9888,68.53,66.05,22.5,362.76,98.21,166,53,287.2,270.41,6.95,6.55
10,2.66,18.9,10000.0,49.681,8223,57.67,55.67,23.45,832.28,17.3,223,66,286.65,310.94,4.03,9.4
45,1.52,21.05,10000.0,68.754,4633,60.01,71.4,21.81,291.02,64.62,229,46,284.52,253.46,3.03,7.16
31,4.37,19.05,10000.0,44.485,6381,67.36,71.6,21.55,720.95,30.13,256,51,291.91,345.05,7.08,1.28
2,2.98,18.59,10000.0,46.688,293,60.55,70.22,24.69,61.4,83.53,194,68,298.82,298.79,2.74,5.19
61,2.64,24.76,10000.0,59.47,6745,62.69,59.4,21.32,280.19,64.88,742,43,289.73,316.64,8.03,5.21
32,1.1,17.97,10000.0,39.252,3187,62.38,60.78,23.49,413.36,52.26,317,41,295.48,269.28,4.62,5.25
56,2.61,20.43,10000.0,47.083,4615,66.39,57.7,22.97,959.97,46.2,336,39,258.32,279.71,2.5,4.17
36,4.0,24.07,10000.0,67.337,21,61.99,69.94,20.43,64.24,55.76,676,69,282.78,341.68,4.84,8.0
23,3.72,19.82,10000.0,49.835,6040,75.35,57.61,24.7,551.21,34.0,532,58,277.69,323.93,2.76,9.94
14,3.27,17.8,10000.0,56.641,1935,60.07,70.67,21.26,302.68,21.52,794,40,273.29,348.8,1.21,2.53
49,1.99,9.17,10000.0,53.907,1553,74.78,58.7,20.2,369.5,16.2,284,70,255.82,310.37,7.94,8.97
60,1.38,22.93,10000.0,58.196,2931,71.12,70.4,20.46,202.75,58.13,191,37,272.22,293.9,4.26,8.73
15,3.75,20.54,10000.0,64.252,8279,67.75,60.65,24.85,751.56,76.08,365,38,287.08,299.59,5.49,5.18
44,3.52,26.07,10000.0,43.981,3087,70.78,63.2,23.07,341.92,74.55,740,56,280.25,277.93,3.87,1.24
28,0.95,20.06,10000.0,74.441,2833,71.68,68.71,23.62,985.89,23.36,428,36,282.92,328.35,6.81,5.15
5,1.63,16.83,10000.0,60.592,3884,68.22,57.92,24.95,697.05,34.07,128,63,293.67,317.76,3.32,2.34
44,2.48,22.16,10000.0,51.307,366,71.73,67.76,22.92,138.32,83.49,777,52,257.03,319.16,4.76,7.5
29,3.17,17.38,10000.0,63.97,7743,61.88,59.5,21.34,69.59,98.45,199,47,276.13,331.42,4.39,6.27
18,3.07,20.38,10000.0,50.79,7170,56.29,69.07,23.97,17.13,97.51,398,57,287.25,335.08,8.78,7.68
10,2.14,18.31,10000.0,57.138,517,68.47,64.38,20.08,228.03,30.52,894,59,285.67,346.79,6.85,6.65
25,1.08,17.71,10000.0,67.277,1249,56.99,71.81,23.54,251.61,8.0,612,36,275.33,288.78,7.96,7.63
60,3.27,16.23,10000.0,88.373,9952,77.03,57.68,24.64,917.37,38.02,923,48,256.51,335.82,7.15,1.48
22,0.72,20.21,10000.0,53.981,4119,63.51,64.89,23.74,393.8,92.43,790,61,275.75,272.82,9.61,5.17
42,2.29,22.29,10000.0,68.877,1720,58.0,59.07,22.04,716.28,4.76,973,42,289.55,333.95,9.27,5.73
57,3.57,25.02,10000.0,50.835,5068,66.9,61.95,20.75,88.44,36.61,895,70,295.26,292.4,9.31,4.62
37,2.17,14.35,10000.0,49.371,1990,66.91,62.34,23.42,523.92,14.91,325,62,274.99,319.46,7.75,2.13
38,1.51,17.61,10000.0,59.925,5393,56.6,63.4,21.65,681.04,50.75,104,63,258.85,318.48,7.13,5.87
20,1.66,20.98,10000.0,58.798,2153,64.63,71.39,20.52,77.77,49.69,154,46,280.36,335.87,7.81,2.5
40,2.6,20.99,10000.0,58.495,4730,67.47,71.71,22.44,471.52,4.77,302,68,258.83,327.54,2.65,5.38
16,0.74,23.79,10000.0,39.647,126,67.2,58.1,23.28,205.8,11.93,947,57,285.22,294.43,7.96,2.1
37,2.83,14.22,10000.0,39.947,154,57.55,59.73,20.65,484.34,3.06,446,41,291.72,308.33,7.55,7.2
7,2.89,25.37,10000.0,69.584,7519,60.99,67.77,22.4,900.6,5.18,240,39,292.76,343.05,6.32,4.23
7,1.41,24.1,10000.0,64.729,2777,57.61,63.25,22.54,645.03,43.01,126,58,250.05,279.8,2.43,6.19
57,3.06,19.41,10000.0,65.663,2673,56.29,70.22,21.84,189.61,97.49,271,62,275.9,333.36,5.28,7.89
50,1.74,28.3,10000.0,28.149,3539,68.08,63.1,20.73,438.19,3.68,387,40,286.95,295.7,8.96,1.8
61,3.55,21.56,10000.0,44.565,5879,56.86,63.8,20.19,443.02,44.98,728,64,270.16,254.16,1.21,1.43
56,2.2,22.27,10000.0,63.453,6121,69.33,70.89,21.13,777.31,46.1,758,64,273.86,327.27,2.44,5.61
53,2.69,19.46,10000.0,35.909,9613,67.04,62.38,22.96,982.44,75.21,560,40,258.93,335.18,4.87,3.63
10,0.67,20.48,10000.0,68.49,5837,71.56,62.98,22.06,521.41,59.35,703,59,254.44,274.07,1.08,3.63
10,3.43,18.97,10000.0,68.153,4860,63.41,67.2,22.37,950.81,17.17,559,53,273.65,273.15,4.8,3.14
26,4.08,18.17,10000.0,68.942,1224,77.66,66.64,23.39,339.74,81.36,279,56,296.74,311.33,2.84,9.13
34,2.47,20.24,10000.0,55.452,8613,59.3,59.8,20.17,432.02,66.94,100,59,296.85,311.02,4.44,3.55
55,3.48,16.05,10000.0,46.287,6005,67.0,63.09,23.83,926.34,72.19,155,54,261.61,252.44,6.35,5.32
24,0.89,20.12,10000.0,61.311,5703,76.38,67.53,20.09,380.8,11.04,768,49,272.49,267.1,7.53,7.34
57,2.59,21.83,10000.0,43.962,7115,71.49,61.36,21.84,65.6,93.62,437,59,255.42,308.08,9.83,4.99
59,3.97,21.08,10000.0,64.72,8214,60.23,71.79,21.35,535.85,65.28,986,58,262.78,310.45,5.27,3.34
50,0.68,20.63,10000.0,66.529,3268,65.83,58.33,23.17,625.46,17.89,366,36,267.61,263.24,1.04,4.27
11,2.77,23.3,10000.0,46.967,3036,69.63,60.33,23.2,952.79,45.78,200,37,263.85,308.02,4.42,8.53
58,3.28,16.38,10000.0,46.157,7731,67.91,56.9,23.74,801.19,87.16,141,53,277.05,337.15,8.19,4.94
19,2.45,21.67,10000.0,48.757,5254,62.51,63.43,21.39,992.84,81.79,303,60,274.54,260.61,3.11,5.42
1,1.52,18.44,10000.0,60.903,9708,65.05,70.39,21.41,548.43,56.62,989,48,260.73,272.18,8.83,8.76
46,0.05,16.41,10000.0,64.639,7688,57.75,60.67,22.38,66.0,95.52,924,56,299.76,266.94,9.32,2.33
9,2.91,14.56,10000.0,59.715,6926,63.16,59.01,24.22,382.98,26.48,585,49,293.03,340.53,7.03,4.95
64,3.89,17.93,10000.0,36.834,2727,75.18,65.14,21.36,428.22,71.82,333,48,263.72,258.09,8.83,8.8
22,2.56,15.13,10000.0,54.334,96,73.41,59.2,22.39,339.67,97.38,532,57,253.64,253.33,8.09,9.75
60,1.39,21.37,10000.0,55.992,6329,56.19,55.91,20.16,165.32,43.41,194,51,295.87,317.86,5.69,9.03
47,2.05,27.61,10000.0,57.371,1946,70.48,64.21,24.04,952.79,76.79,252,47,260.59,347.98,4.04,3.97
45,2.17,21.83,10000.0,61.324,8780,73.7,61.05,20.61,417.3,53.36,212,61,290.12,284.27,2.03,1.01
35,1.95,10.66,10000.0,56.997,6244,56.94,59.34,21.11,834.82,39.0,994,55,276.15,334.76,9.79,2.97
19,2.15,13.14,10000.0,56.28,2113,63.49,71.03,24.66,770.22,58.26,677,55,298.23,274.43,3.59,6.34
63,1.5,11.43,10000.0,59.294,360,65.57,60.51,23.36,691.43,83.92,264,56,272.87,339.93,9.23,9.13
22,2.62,14.56,10000.0,54.645,6001,72.56,62.48,23.2,964.22,12.76,162,45,250.12,295.11,8.02,9.4
35,1.65,17.45,10000.0,59.133,237,69.39,66.79,21.8,873.57,87.7,854,47,275.07,257.8,8.01,7.72
43,1.52,25.76,10000.0,47.409,7775,77.53,64.61,23.63,865.79,12.7,218,49,280.51,342.0,8.94,5.48
9,3.11,18.91,10000.0,62.477,1760,69.78,62.87,22.42,268.64,53.86,329,58,291.66,296.56,4.7,7.78
39,3.16,19.06,10000.0,48.889,7957,68.52,71.56,22.99,417.63,49.92,424,39,271.93,254.65,8.52,5.91
31,4.29,12.43,10000.0,77.975,6711,75.7,66.3,22.91,673.46,49.41,806,36,265.36,309.17,1.15,6.23
25,2.67,21.08,10000.0,42.467,6774,71.36,60.41,23.1,87.29,83.57,783,65,280.28,330.13,4.42,9.02
32,3.3,26.79,10000.0,44.738,4139,57.11,68.71,21.64,77.46,58.14,675,68,298.22,339.81,9.09,2.27
61,3.63,21.42,10000.0,52.395,1794,62.74,65.94,22.1,880.97,2.25,410,57,255.31,278.65,3.7,8.31
34,2.93,21.26,10000.0,43.351,2761,61.17,70.44,24.43,245.14,8.31,302,52,268.96,297.77,9.78,4.31
29,2.06,14.93,10000.0,57.335,7042,69.13,70.34,23.21,836.04,62.21,282,65,280.16,257.62,8.81,9.52
59,1.43,28.07,10000.0,63.786,4169,72.49,58.33,21.68,91.03,38.14,572,55,274.17,346.34,2.57,1.27
